Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	17:43 3/4/2014	141
Jim	17:43 3/4/2014	124
Tom	17:44 3/4/2014	208
Lana	17:44 3/4/2014	105
TomH	17:44 3/4/2014	98
Matt	17:44 3/4/2014	122
Mike	15:49 3/22/2014	104
Mike	15:6 3/24/2014	84
Jim	15:6 3/24/2014	137
Tom	12:23 3/25/2014	124
Mike	14:23 3/29/2014	118
Jim	14:23 3/29/2014	129
Mike	14:23 3/29/2014	41
Mike	14:23 3/29/2014	38
Tom	14:24 3/29/2014	203
Lana	14:24 3/29/2014	126
Lana	14:26 3/29/2014	60
Lana	14:26 3/29/2014	52
TomH	14:26 3/29/2014	115
Mike	14:37 3/29/2014	86
Jim	14:37 3/29/2014	124
Mike	14:44 3/29/2014	47
Mike	14:44 3/29/2014	37
Tom	14:45 3/29/2014	110
Lana	14:45 3/29/2014	123
